"CASE_STATUS","VISA_CLASS","AGENT_REPRESENTING_EMPLOYER","TOTAL_WORKERS","NEW_EMPLOYMENT","CONTINUED_EMPLOYMENT","CHANGE_PREVIOUS_EMPLOYMENT","NEW_CONCURRENT_EMP","CHANGE_EMPLOYER","AMENDED_PETITION","FULL_TIME_POSITION","PREVAILING_WAGE","PW_WAGE_LEVEL","H1B_DEPENDENT","WILLFUL_VIOLATOR","WORKSITE_STATE"
"DENIED","H-1B","Y",1,0,1,0,0,0,0,"Y",113256,"Level III","N","N","NJ"
"CERTIFIED","H-1B","Y",1,0,0,0,0,0,1,"Y",120869,"Level II","N","N","CA"
"CERTIFIED","H-1B","Y",1,0,1,0,0,0,0,"Y",106704,"Level II","N","N","MD"
"CERTIFIED","H-1B","Y",1,0,0,0,0,1,0,"Y",104874,"Level IV","N","N","KS"
"CERTIFIED","H-1B","Y",1,0,1,0,0,0,0,"Y",80912,"Level II","N","N","IL"
"CERTIFIED","H-1B","N",1,0,1,0,0,0,0,"Y",64605,"Level II","Y","N","UT"
"CERTIFIED","H-1B","N",1,0,1,0,0,0,0,"Y",96762,"Level II","Y","N","CA"
"CERTIFIED","H-1B","N",1,0,1,0,0,0,0,"Y",83720,"Level III","Y","N","AZ"
"CERTIFIED","H-1B","N",1,0,0,0,0,0,1,"Y",115586,"Level IV","N","N","WA"
"CERTIFIED","H-1B","N",1,0,1,0,0,0,0,"Y",79165,"Level II","N","N","PA"
"CERTIFIED","H-1B","N",1,0,1,0,0,0,0,"Y",85238,"Level III","N","N","OR"
"CERTIFIED","H-1B","N",1,0,0,0,0,0,1,"Y",123968,"Level IV","N","N","MI"
"DENIED","H-1B","Y",1,0,0,0,0,1,0,"Y",132184,"Level III","N","N","CA"
"CERTIFIED","H-1B","N",1,0,0,1,0,0,0,"Y",62442,"Level II","Y","N","TN"
"CERTIFIED","H-1B","N",1,1,0,0,0,0,0,"Y",45427,"Level I","N","N","CA"
"CERTIFIED","H-1B","N",1,0,0,1,0,0,0,"Y",72571,"Level III","Y","N","PA"
